slug,name,city,state,current_hero
ucla-health-tms-los-angeles,"UCLA Health TMS Center","Los Angeles",CA,placeholder
silicon-valley-tms-san-jose,"Silicon Valley TMS","San Jose",CA,placeholder
brain-health-solutions-costa-mesa,"Brain Health Solutions","Costa Mesa",CA,placeholder
huntsville-tms-center-huntsville,"Huntsville TMS Center","Huntsville",AL,placeholder
huntsville-mental-health-&-tms-huntsville,"Huntsville Mental Health & TMS","Huntsville",AL,placeholder
huntsville-depression-treatment-center-huntsville,"Huntsville Depression Treatment Center","Huntsville",AL,placeholder
birmingham-tms-center-birmingham,"Birmingham TMS Center","Birmingham",AL,placeholder
birmingham-mental-health-&-tms-birmingham,"Birmingham Mental Health & TMS","Birmingham",AL,placeholder
birmingham-depression-treatment-center-birmingham,"Birmingham Depression Treatment Center","Birmingham",AL,placeholder
dr-garcia-private-practice-birmingham,"Dr. Garcia Private Practice","Birmingham",AL,placeholder
montgomery-tms-center-montgomery,"Montgomery TMS Center","Montgomery",AL,placeholder
montgomery-mental-health-&-tms-montgomery,"Montgomery Mental Health & TMS","Montgomery",AL,placeholder
montgomery-depression-treatment-center-montgomery,"Montgomery Depression Treatment Center","Montgomery",AL,placeholder
dr-jackson-private-practice-montgomery,"Dr. Jackson Private Practice","Montgomery",AL,placeholder
mobile-tms-center-mobile,"Mobile TMS Center","Mobile",AL,placeholder
mobile-mental-health-&-tms-mobile,"Mobile Mental Health & TMS","Mobile",AL,placeholder
mobile-depression-treatment-center-mobile,"Mobile Depression Treatment Center","Mobile",AL,placeholder
tuscaloosa-tms-center-tuscaloosa,"Tuscaloosa TMS Center","Tuscaloosa",AL,placeholder
tuscaloosa-mental-health-&-tms-tuscaloosa,"Tuscaloosa Mental Health & TMS","Tuscaloosa",AL,placeholder
anchorage-tms-center-anchorage,"Anchorage TMS Center","Anchorage",AK,placeholder
anchorage-mental-health-&-tms-anchorage,"Anchorage Mental Health & TMS","Anchorage",AK,placeholder
anchorage-depression-treatment-center-anchorage,"Anchorage Depression Treatment Center","Anchorage",AK,placeholder
fairbanks-tms-center-fairbanks,"Fairbanks TMS Center","Fairbanks",AK,placeholder
fairbanks-mental-health-&-tms-fairbanks,"Fairbanks Mental Health & TMS","Fairbanks",AK,placeholder
fairbanks-depression-treatment-center-fairbanks,"Fairbanks Depression Treatment Center","Fairbanks",AK,placeholder
juneau-tms-center-juneau,"Juneau TMS Center","Juneau",AK,placeholder
juneau-mental-health-&-tms-juneau,"Juneau Mental Health & TMS","Juneau",AK,placeholder
juneau-depression-treatment-center-juneau,"Juneau Depression Treatment Center","Juneau",AK,placeholder
dr-wilson-private-practice-juneau,"Dr. Wilson Private Practice","Juneau",AK,placeholder
wasilla-tms-center-wasilla,"Wasilla TMS Center","Wasilla",AK,placeholder
wasilla-mental-health-&-tms-wasilla,"Wasilla Mental Health & TMS","Wasilla",AK,placeholder
wasilla-depression-treatment-center-wasilla,"Wasilla Depression Treatment Center","Wasilla",AK,placeholder
dr-brown-private-practice-wasilla,"Dr. Brown Private Practice","Wasilla",AK,placeholder
sitka-tms-center-sitka,"Sitka TMS Center","Sitka",AK,placeholder
sitka-mental-health-&-tms-sitka,"Sitka Mental Health & TMS","Sitka",AK,placeholder
sitka-depression-treatment-center-sitka,"Sitka Depression Treatment Center","Sitka",AK,placeholder
dr-johnson-private-practice-sitka,"Dr. Johnson Private Practice","Sitka",AK,placeholder
phoenix-tms-center-phoenix,"Phoenix TMS Center","Phoenix",AZ,placeholder
phoenix-mental-health-&-tms-phoenix,"Phoenix Mental Health & TMS","Phoenix",AZ,placeholder
phoenix-depression-treatment-center-phoenix,"Phoenix Depression Treatment Center","Phoenix",AZ,placeholder
tucson-tms-center-tucson,"Tucson TMS Center","Tucson",AZ,placeholder
tucson-mental-health-&-tms-tucson,"Tucson Mental Health & TMS","Tucson",AZ,placeholder
mesa-tms-center-mesa,"Mesa TMS Center","Mesa",AZ,placeholder
mesa-mental-health-&-tms-mesa,"Mesa Mental Health & TMS","Mesa",AZ,placeholder
mesa-depression-treatment-center-mesa,"Mesa Depression Treatment Center","Mesa",AZ,placeholder
dr-wong-private-practice-mesa,"Dr. Wong Private Practice","Mesa",AZ,placeholder
chandler-tms-center-chandler,"Chandler TMS Center","Chandler",AZ,placeholder
chandler-mental-health-&-tms-chandler,"Chandler Mental Health & TMS","Chandler",AZ,placeholder
gilbert-tms-center-gilbert,"Gilbert TMS Center","Gilbert",AZ,placeholder
