slug,name,clinic,state,current_image
dr-andrew-leuchter-los-angeles,"Dr. Andrew Leuchter, MD","UCLA Health TMS Center",CA,dicebear
dr-saad-shakir-san-jose,"Dr. Saad Shakir, MD","Silicon Valley TMS",CA,dicebear
dr-robert-bota-costa-mesa,"Dr. Robert Bota, MD","Brain Health Solutions",CA,dicebear
dr-michael-wilson-huntsville,"Dr. Michael Wilson, MD","Huntsville TMS Center",AL,dicebear
dr-michael-patel-huntsville,"Dr. Michael Patel, MD","Huntsville TMS Center",AL,dicebear
dr-alan-brown-huntsville,"Dr. Alan Brown, MD","Huntsville Mental Health & TMS",AL,dicebear
dr-jessica-thomas-huntsville,"Dr. Jessica Thomas, MD","Huntsville Mental Health & TMS",AL,dicebear
dr-elizabeth-smith-huntsville,"Dr. Elizabeth Smith, MD","Huntsville Depression Treatment Center",AL,dicebear
dr-jennifer-smith-huntsville,"Dr. Jennifer Smith, MD","Huntsville Depression Treatment Center",AL,dicebear
dr-jessica-anderson-huntsville,"Dr. Jessica Anderson, MD","Huntsville Depression Treatment Center",AL,dicebear
dr-jennifer-davis-birmingham,"Dr. Jennifer Davis, MD","Birmingham TMS Center",AL,dicebear
dr-alan-anderson-birmingham,"Dr. Alan Anderson, MD","Birmingham TMS Center",AL,dicebear
dr-david-martinez-birmingham,"Dr. David Martinez, MD","Birmingham TMS Center",AL,dicebear
dr-elizabeth-martinez-birmingham,"Dr. Elizabeth Martinez, MD","Birmingham Mental Health & TMS",AL,dicebear
dr-sarah-garcia-birmingham,"Dr. Sarah Garcia, MD","Birmingham Depression Treatment Center",AL,dicebear
dr-emily-wilson-birmingham,"Dr. Emily Wilson, MD","Birmingham Depression Treatment Center",AL,dicebear
dr-james-davis-birmingham,"Dr. James Davis, MD","Birmingham Depression Treatment Center",AL,dicebear
dr-david-garcia-birmingham,"Dr. David Garcia, MD","Dr. Garcia Private Practice",AL,dicebear
dr-james-jackson-birmingham,"Dr. James Jackson, MD","Dr. Garcia Private Practice",AL,dicebear
dr-david-garcia-montgomery,"Dr. David Garcia, MD","Montgomery TMS Center",AL,dicebear
dr-christopher-kim-montgomery,"Dr. Christopher Kim, MD","Montgomery Mental Health & TMS",AL,dicebear
dr-emily-smith-montgomery,"Dr. Emily Smith, MD","Montgomery Mental Health & TMS",AL,dicebear
dr-christopher-jackson-montgomery,"Dr. Christopher Jackson, MD","Montgomery Depression Treatment Center",AL,dicebear
dr-christopher-anderson-montgomery,"Dr. Christopher Anderson, MD","Montgomery Depression Treatment Center",AL,dicebear
dr-jennifer-garcia-montgomery,"Dr. Jennifer Garcia, MD","Montgomery Depression Treatment Center",AL,dicebear
dr-sarah-jackson-montgomery,"Dr. Sarah Jackson, MD","Dr. Jackson Private Practice",AL,dicebear
dr-elizabeth-brown-montgomery,"Dr. Elizabeth Brown, MD","Dr. Jackson Private Practice",AL,dicebear
dr-maria-moore-mobile,"Dr. Maria Moore, MD","Mobile TMS Center",AL,dicebear
dr-daniel-garcia-mobile,"Dr. Daniel Garcia, MD","Mobile TMS Center",AL,dicebear
dr-sarah-johnson-mobile,"Dr. Sarah Johnson, MD","Mobile Mental Health & TMS",AL,dicebear
dr-william-lee-mobile,"Dr. William Lee, MD","Mobile Depression Treatment Center",AL,dicebear
dr-david-johnson-mobile,"Dr. David Johnson, MD","Mobile Depression Treatment Center",AL,dicebear
dr-michael-wilson-tuscaloosa,"Dr. Michael Wilson, MD","Tuscaloosa TMS Center",AL,dicebear
dr-jennifer-garcia-tuscaloosa,"Dr. Jennifer Garcia, MD","Tuscaloosa TMS Center",AL,dicebear
